aba	/aba/
ab	/ab/
ab’ad	/abʔad/
abad	/abad/
abadi	/abadi/
abadiah	/abadiah/
abadikan	/abadikan/
a’bah	/aʔbah/
abah	/abah/
abai	/abai/
abaian	/abaian/
abaikan	/abaikan/
abaimana	/abaimana/
abaka	/abaka/
abakus	/abakus/
abang	/abaŋ/
abangan	/abaŋan/
abangnya	/abaŋɲa/
abar	/abar/
abaran	/abaran/
abatoar	/abatoar/
abau	/abau/
abdas	/abdas/
abdi	/abdi/
abdikasi	/abdikasi/
abdomén	/abdomen/
abdominal	/abdominal/
abdu	/abdu/
abécé	/abetʃe/
abén	/aben/
aberasi	/abərasi/
abet	/abət/
abian	/abian/
abid	/abid/
abidin	/abidin/
abilah	/abilah/
abis	/abis/
abisal	/abisal/
abiturién	/abiturien/
abjad	/abdʒad/
abjadiah	/abdʒadiah/
ablasi	/ablasi/
ablaut	/ablaut/
abnormal	/abnormal/
abnormalitas	/abnormalitas/
abnus	/abnus/
aboi	/aboi/
abolisi	/abolisi/
abon	/abon/
abonemén	/abonəmen/
aborsi	/aborsi/
abortus	/abortus/
abrak	/abraʔ/
abrakadabra	/abrakadabra/
abrar	/abrar/
abras	/abras/
abrasi	/abrasi/
abréaksi	/abreaʔsi/
abrek	/abrəʔ/
abréviasi	/abreviasi/
abrik	/abriʔ/
abrikos	/abrikos/
absah	/absah/
absén	/absen/
absénsi	/absensi/
abséntéisme	/absenteismə/
absés	/abses/
absis	/absis/
absolusi	/absolusi/
absolut	/absolut/
absolutisme	/absolutismə/
absorbén	/absorben/
absorpsi	/absorpsi/
absorptif	/absorptif/
abstain	/abstain/
abstrak	/abstraʔ/
abstraksi	/abstraʔsi/
absurd	/absurd/
abtar	/abtar/
abu	/abu/
abuan	/abuan/
abuh	/abuh/
abuhan	/abuhan/
abuk	/abuʔ/
abul	/abul/
abulhayat	/abulhajat/
abun	/abun/
abur	/abur/
abus	/abus/
acah	/atʃah/
acak	/atʃaʔ/
acan	/atʃan/
acang	/atʃaŋ/
acap	/atʃap/
acara	/atʃara/
acaram	/atʃaram/
acar	/atʃar/
acatan	/atʃatan/
acat	/atʃat/
acau	/atʃau/
acawi	/atʃawi/
acerang	/atʃəraŋ/
acian	/atʃian/
aci	/atʃi/
acik	/atʃiʔ/
aco	/atʃo/
acuan	/atʃuan/
acu	/atʃu/
acuhan	/atʃuhan/
acuh	/atʃuh/
acuman	/atʃuman/
acum	/atʃum/
acung	/atʃuŋ/
acungkan	/atʃuŋkan/
ada.	/ada./
ada	/ada/
adaan	/adaʔan/
adab	/adab/
adad	/adad/
adagio	/adagio/
adagium	/adagium/
adakah	/adakah/
adakala	/adakala/
adakan	/adakan/
adalah	/adalah/
adalat	/adalat/
adam	/adam/
adang	/adaŋ/
adanya	/adaɲa/
adap	/adap/
adaptasi	/adaptasi/
adaptif	/adaptif/
adaptor	/adaptor/
adapun	/adapun/
adar	/adar/
adas	/adas/
adat	/adat/
adati	/adati/
adegan	/adəgan/
adéh	/adeh/
adekuat	/adəkuat/
adem	/adəm/
adempauze	/adəmpauzə/
