a	/a/
aalboaiei	/aalbŏajej/
aalexoaiei	/aaleksŏajej/
aancuței	/aankutsej/
aanicăi	/aanikəj/
aanuței	/aanutsej/
aauto	/aauto/
aaxiniei	/aaksinijej/
ab	/ab/
aba	/aba/
ababei	/ababej/
abac	/abak/
abacă	/abakə/
abager	/abadʒer/
abagerie	/abadʒerije/
abagiu	/abadʒiw/
abajur	/abaʒur/
abandon	/abandon/
abandona	/abandona/
abandonare	/abandonare/
abandonase	/abandonase/
abandonat	/abandonat/
abanos	/abanos/
abataj	/abataʒ/
abate	/abate/
abatere	/abatere/
abatesă	/abatesə/
abație	/abatsije/
abatiză	/abatizə/
abator	/abator/
abătu	/abətu/
abătut	/abətut/
abazie	/abazije/
abces	/abtʃes/
abdica	/abdika/
abdicare	/abdikare/
abdomen	/abdomen/
abdominal	/abdominal/
abdominalgie	/abdominaldʒije/
abducție	/abduktsije/
abductor	/abduktor/
abecedar	/abetʃedar/
abecedarul	/abetʃedarul/
aberant	/aberant/
aberație	/aberatsije/
aberativ	/aberativ/
aberoscop	/aberoskop/
abia	/abja/
abil	/abil/
abili	/abilʲ/
abilita	/abilita/
abilitare	/abilitare/
abilitat	/abilitat/
abilitate	/abilitate/
abilitați	/abilitatsʲ/
abiogen	/abiodʒen/
abiogeneză	/abiodʒenezə/
abiologie	/abiolodʒije/
abiotic	/abiotik/
abiotrofie	/abiotrofije/
abioză	/abiozə/
abis	/abis/
abisal	/abisal/
abisinian	/abisinijan/
abitație	/abitatsije/
abitir	/abitir/
abject	/abʒekt/
abjecție	/abʒektsije/
abjudeca	/abʒudeka/
abjudecare	/abʒudekare/
abjudecat	/abʒudekat/
abjura	/abʒura/
abjurare	/abʒurare/
abjurat	/abʒurat/
ablactare	/ablaktare/
ablactație	/ablaktatsije/
ablație	/ablatsije/
ablațiune	/ablatsiune/
ablativ	/ablativ/
ablefarie	/ablefarije/
ablepsie	/ablepsije/
abluțiune	/ablutsiune/
abnega	/abneɡa/
abnegare	/abneɡare/
abnegat	/abneɡat/
abnegație	/abneɡatsije/
abnorm	/abnorm/
abnormitate	/abnormitate/
abolire	/abolire/
abolit	/abolit/
abolițiune	/abolitsiune/
abominabil	/abominabil/
abona	/abona/
abonament	/abonament/
abonare	/abonare/
abonat	/abonat/
aborda	/aborda/
abordabil	/abordabil/
abordaj	/abordaʒ/
abordăm	/abordəm/
