ก ข ไม่กระดิกหู	/mâj kràʔ dìk hǔː/
ค.ญ.	/kʰun jǐŋ/
ค.ศ.	/kʰɔː sɔ̌ː/
คกก.	/kʰɔː kɔː kɔː/
คค.	/kràʔ suːaŋ kʰá má naː kʰom/
คง	/kʰoŋ/
คงกิน	/kʰoŋ kin/
คงแก่เรียน	/kʰoŋ kɛ̀ː riːan/
คงเขียน	/kʰoŋ kʰǐːan/
คงคล้าย	/kʰoŋ kʰláːj/
คงค่อยยังชั่ว	/kʰoŋ kʰɔ̂ːj jaŋ tɕʰûːa/
คงง่วง	/kʰoŋ ŋûːaŋ/
คงจะ	/kʰoŋ tɕàʔ/
คงจะ...	/kʰoŋ tɕàʔ/
คงจะกลับ	/kʰoŋ tɕàʔ klàp/
คงจะกลับบ้าน	/kʰoŋ tɕàʔ klàp bâːn/
คงจะกำลัง	/kʰoŋ tɕàʔ kam laŋ/
คงจะกำลังกิน	/kʰoŋ tɕàʔ kam laŋ kin/
คงจะกำลังเขียน	/kʰoŋ tɕàʔ kam laŋ kʰǐːan/
คงจะกำลังดื่ม	/kʰoŋ tɕàʔ kam laŋ dɯ̀ːm/
คงจะกำลังเดิน	/kʰoŋ tɕàʔ kam laŋ dɤːn/
คงจะกำลังทำ	/kʰoŋ tɕàʔ kam laŋ tʰam/
คงจะกำลังปิด	/kʰoŋ tɕàʔ kam laŋ pìt/
คงจะกำลังเปิด	/kʰoŋ tɕàʔ kam laŋ pɤ̀ːt/
คงจะกำลังไป	/kʰoŋ tɕàʔ kam laŋ paj/
คงจะกำลังพูด	/kʰoŋ tɕàʔ kam laŋ pʰûːt/
คงจะกำลังมา	/kʰoŋ tɕàʔ kam laŋ maː/
คงจะกำลังมี	/kʰoŋ tɕàʔ kam laŋ miː/
คงจะกำลังยิ้ม	/kʰoŋ tɕàʔ kam laŋ jím/
คงจะกำลังยุ่งมาก	/kʰoŋ tɕàʔ kam laŋ jûŋ mâːk/
คงจะกำลังรัก	/kʰoŋ tɕàʔ kam laŋ rák/
คงจะกำลังเล่น	/kʰoŋ tɕàʔ kam laŋ lên/
คงจะกำลังวิ่ง	/kʰoŋ tɕàʔ kam laŋ wîŋ/
คงจะกำลังให้	/kʰoŋ tɕàʔ kam laŋ hâj/
คงจะกำลังอ่าน	/kʰoŋ tɕàʔ kam laŋ ʔàːn/
คงจะกิน	/kʰoŋ tɕàʔ kin/
คงจะเขียน	/kʰoŋ tɕàʔ kʰǐːan/
คงจะคิดอยู่กระมัง	/kʰoŋ tɕàʔ kʰít jùː kràʔ maŋ/
คงจะเคยได้ยิน	/kʰoŋ tɕàʔ kʰɤːj dâj jin/
คงจะดื่ม	/kʰoŋ tɕàʔ dɯ̀ːm/
คงจะเดิน	/kʰoŋ tɕàʔ dɤːn/
คงจะได้	/kʰoŋ tɕàʔ dâj/
คงจะได้กิน	/kʰoŋ tɕàʔ dâj kin/
คงจะได้เขียน	/kʰoŋ tɕàʔ dâj kʰǐːan/
ฅน	/kʰon/
ฅนไฟบิน	/kʰon faj bin/
ฅาราวาน	/kʰaː raː waːn/
ฆราวาส	/kʰá raː wâːt/
ฆราวาสวิสัย	/kʰá raː wâːt wíʔ sǎj/
ฆ้อง	/kʰɔ́ːŋ/
ฆ้อน	/kʰɔ́ːn/
ฆ่า	/kʰâː/
ฆ่าเชื้อ	/kʰâː tɕʰɯ́ːa/
ฆ่าเชื้อโรค	/kʰâː tɕʰɯ́ːa rôːk/
ฆ่าด้วยก๊าซ	/kʰâː dûaj káːs/
ฆ่าตัวตาย	/kʰâː tuːa taːj/
ฆ่าปิดปาก	/kʰâː pìt pàːk/
ฆ่าฟัน	/kʰâː fan/
ฆ่ามนุษย์	/kʰâː má nút/
ฆ่าล้างเผ่าพันธุ์	/kʰâː láːŋ pʰàw pʰan/
ฆ่าเวลา	/kʰâː weː laː/
ฆ่าออก	/kʰâː ʔɔ̀ːk/
ฆาต	/kʰâːt/
ฆาตกรรม	/kʰâːt tàʔ kam/
